ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip
1701045575.268683,TCP,45,6,0.57582688331604,9251,14,0,0,0,1,1,0,0,0,20,24.312862781566526,24.312862781566526,0.0,0,2,0,6,13,1701045575.268683,1701045574.692856,23814638048.54334,1701045574.8959527,0.13134176630839786,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8706,54,3488,483.6666666666667,804.8888121970637,844,0.027011871337890625,18,808448,31.10198278781167,1138.2846744114584,647846.0000000002,1.0,324,0.9999999999999999,0,0,0,0,0,0.307452917098999,0.57582688331604,140.82.114.22
1701045575.268683,TCP,45,6,0.57582688331604,9329,15,0,0,0,1,1,0,0,0,21,26.049495837392705,26.049495837392705,0.0,0,2,0,7,14,1701045575.268683,1701045574.692856,25515683623.812023,1701045574.9208016,0.1573055299065253,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8784,54,3488,462.3157894736842,788.6408062797916,78,0.0,19,808448,30.40775524347972,1115.306524081734,621954.3213296399,1.0,361,0.9999999999999998,0,0,0,0,0,0.0,0.57582688331604,140.82.114.22
1701045575.268753,TCP,128,6,0.5758969783782959,9383,19,0,0,0,0,1,0,0,0,13,27.782746916046328,27.782746916046328,0.0,0,2,0,7,15,1701045575.268753,1701045574.692856,27216729199.080776,1701045574.9425485,0.17404724712396746,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8838,54,3488,441.9,773.8061062049071,54,1701045575.268753,0,808448,30.40775524347972,1115.306524081734,621954.3213296399,1.0,361,0.9999999999999998,0,0,0,0,0,7.009506225585938e-05,0.5758969783782959,192.168.43.110
1701045575.269221,TCP,128,6,0.5763649940490723,9461,20,0,0,0,1,1,0,0,0,14,29.495198659744773,29.495198659744773,0.0,0,2,0,8,16,1701045575.269221,1701045574.692856,28917774774.35,1701045574.9617646,0.18552262911461948,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,78,78,78,78.0,0.0,78,0.0004680156707763672,1,808448,12.489995996796797,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0.0004680156707763672,0.5763649940490723,192.168.43.110
1701045575.269384,TCP,128,6,0.5765278339385986,9515,21,1,0,0,0,1,0,0,0,15,31.221389394214462,31.221389394214462,0.0,1,2,0,8,17,1701045575.269384,1701045574.692856,30618820349.61938,1701045574.9788544,0.19357595183838497,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,132,54,78,66.0,12.0,54,0.0001628398895263672,2,808448,11.489125293076057,16.97056274847714,144.0,1.0,4,1.0,0,0,0,0,0,0.0001628398895263672,0.5765278339385986,192.168.43.110
1701045575.272252,TCP,44,6,0.5793960094451904,9569,16,1,0,0,0,1,0,0,0,22,32.79276986770023,32.79276986770023,0.0,2,2,0,8,18,1701045575.272252,1701045574.692856,32319865924.891632,1701045574.9942963,0.1994784508354916,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,186,54,78,62.0,11.313708498984761,54,0.002868175506591797,3,808448,11.135528725660043,16.0,128.0,1.0,9,1.0,0,0,0,0,0,0.002868175506591797,0.5793960094451904,140.82.114.22
1701045575.272289,TCP,128,6,0.5794329643249512,9623,22,0,0,0,0,1,0,0,0,16,34.516503601586294,34.516503601586294,0.0,2,2,0,8,19,1701045575.272289,1701045574.692856,34020911500.16392,1701045575.008196,0.2036488953586899,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,240,54,78,60.0,10.392304845413264,54,3.695487976074219e-05,4,808448,10.954451150103322,14.696938456699069,108.0,1.0,16,1.0,0,0,0,0,0,3.695487976074219e-05,0.5794329643249512,192.168.43.110
1701045575.293922,TCP,45,6,0.6012539863586426,6864,17,0,0,0,1,1,0,0,0,23,21.62147826866235,21.62147826866235,0.0,0,2,0,6,12,1701045575.293922,1701045574.692668,22113592473.704727,1701045574.9003637,0.14156080119698847,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1085,54,845,217.0,314.137549490665,845,0.021632909774780273,5,808448,20.83266665599966,444.2575829403478,98682.4,1.0,25,1.0,0,0,0,0,0,0.3198540210723877,0.6012539863586426,140.82.114.22
1701045575.293922,TCP,45,6,0.6012539863586426,6942,18,0,0,0,1,1,0,0,0,24,23.2846689047133,23.2846689047133,0.0,0,2,0,7,13,1701045575.293922,1701045574.692668,23814638048.99865,1701045574.928475,0.16994489658802064,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1163,54,845,193.83333333333334,291.40831414967477,78,0.0,6,808448,19.689252567496478,412.1135900587496,84918.80555555555,1.0,36,0.9999999999999999,0,0,0,0,0,0.0,0.6012539863586426,140.82.114.22
1701045575.293977,TCP,128,6,0.601309061050415,6996,23,0,0,0,0,1,0,0,0,17,24.94557453333032,24.94557453333032,0.0,0,2,0,7,14,1701045575.293977,1701045574.692668,25515683624.292625,1701045574.9528418,0.18779837638825014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1217,54,845,173.85714285714286,274.1930647093282,54,5.507469177246094e-05,7,808448,18.647098587026502,387.76755082057565,75181.83673469386,1.0,49,1.0,0,0,0,0,0,5.507469177246094e-05,0.601309061050415,192.168.43.110
