ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip,source_mac
1701113599.883117,UDP,128,17,0.05474400520324707,678,13,0,0,0,0,0,0,0,0,3,109.60104175286243,109.60104175286243,0.0,0,0,0,0,0,1701113599.883117,1701113599.828373,10206681599.130796,1701113599.8551328,0.01608604253502545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,605,63,317,121.0,98.116257572331,74,0.00032901763916015625,5,808448,15.556349186104045,138.7573421480824,9626.8,1.0,25,1.0,0,0,0,0,0,0.025968074798583984,0.05474400520324707,10.216.22.121,0
1701113599.886519,UDP,56,17,1.4996910095214844,1076,5,0,0,0,0,0,0,0,0,12,6.001236216566828,6.001236216566828,0.0,0,0,0,0,0,1701113599.886519,1701113598.386828,15310022395.709984,1701113599.5233316,0.6078692866152651,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,749,63,317,124.83333333333333,89.97669451338807,144,0.0034019947052001953,6,808448,15.800843859321775,127.24626167833425,8095.8055555555575,1.0,36,0.9999999999999998,0,0,0,0,0,0.0037310123443603516,1.4996910095214844,64.233.177.95,0
1701113599.886899,UDP,128,17,1.5000710487365723,1157,14,0,0,0,0,0,0,0,0,5,6.666350909460224,6.666350909460224,0.0,0,0,0,0,0,1701113599.886899,1701113598.386828,17011135995.596882,1701113599.559688,0.5868993775363772,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,830,63,317,118.57142857142857,84.70260097685843,81,0.0003800392150878906,7,808448,15.399443403670704,119.78756706974976,7174.530612244898,1.0,49,1.0,0,0,0,0,0,0.0003800392150878906,1.5000710487365723,10.216.22.121,0
1701113599.902487,UDP,57,17,0.07411408424377441,744,4,0,0,0,0,0,0,0,0,13,94.44898458133483,94.44898458133483,0.0,0,0,0,0,0,1701113599.902487,1701113599.828373,11907795199.033283,1701113599.8618977,0.022279566964432285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,896,63,317,112.0,81.11719916269298,66,0.015588045120239258,8,808448,14.966629547095765,114.71704319759989,6580.0,1.0,64,0.9999999999999998,0,0,0,0,0,0.019370079040527344,0.07411408424377441,64.233.176.95,0
1701113599.916886,UDP,56,17,1.5300581455230713,1225,6,0,0,0,0,0,0,0,0,14,7.189269265475855,7.189269265475855,0.0,0,0,0,0,0,1701113599.916886,1701113598.386828,18712249595.513767,1701113599.5921607,0.5689304121479929,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,964,63,317,107.11111111111111,77.71807232190014,68,0.014399051666259766,9,808448,14.636332266733433,109.90995191912423,6040.0987654321,1.0,81,0.9999999999999998,0,0,0,0,0,0.029987096786499023,1.5300581455230713,64.233.177.95,0
1701113601.352953,UDP,64,17,5.017722845077515,428,2,0,0,0,0,0,0,0,0,2,0.3985871802309766,0.3985871802309766,0.0,0,0,0,0,0,1701113601.352953,1701113596.33523,3402227197.688183,1701113598.8440914,2.50886142253876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1178,63,317,117.8,80.40124377147409,214,1.4360668659210205,10,808448,15.349267083479914,113.70452937328398,6464.36,1.0,100,1.0,0,0,0,0,0,5.017722845077515,5.017722845077515,10.216.22.123,0
1701113601.47744,TCP,128,6,0.0,821,15,0,0,0,1,1,0,0,0,1,0.3985871802309766,0.3985871802309766,0.0,0,0,0,1,1,1701113601.47744,1701113601.47744,1701113601.47744,1701113601.47744,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1999,63,821,181.72727272727272,216.20280500623016,821,0.12448716163635254,11,808448,19.064483875902475,305.7569390629164,46743.65289256198,1.0,121,1.0,0,0,0,0,0,1701113601.47744,0.0,10.216.22.121,0
1701113601.483141,TCP,61,6,0.005700826644897461,1335,1,0,0,0,1,1,0,0,0,15,350.82631424867213,350.82631424867213,0.0,0,0,0,2,2,1701113601.483141,1701113601.47744,3402227202.960581,1701113601.4802904,0.002850413324941501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2513,63,821,209.41666666666666,226.45546226330885,514,0.005700826644897461,12,808448,20.465417985795778,320.25638600624,51282.0763888889,1.0,144,0.9999999999999998,0,0,0,0,0,0.005700826644897461,0.005700826644897461,162.247.243.29,0
1701113601.485546,TCP,128,6,0.0,1096,16,0,0,0,1,1,0,0,0,2,350.82631424867213,350.82631424867213,0.0,0,0,0,1,1,1701113601.485546,1701113601.485546,1701113601.485546,1701113601.485546,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3609,63,1096,277.61538461538464,321.16986602145084,1096,0.0024051666259765625,13,808448,23.563335273911655,454.20278035308564,103150.08284023669,1.0,169,1.0,0,0,0,0,0,1701113601.485546,0.0,10.216.22.121,0
1701113601.490604,TCP,61,6,0.005057811737060547,1150,2,0,0,0,0,1,0,0,0,16,395.42792495521826,395.42792495521826,0.0,0,0,0,1,2,1701113601.490604,1701113601.485546,3402227202.97615,1701113601.488075,0.0025289058685302734,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3663,54,1096,261.64285714285717,314.79962042608656,54,0.005057811737060547,14,808448,22.875439105855747,445.193892636474,99098.80102040817,1.0,196,1.0,0,0,0,0,0,0.005057811737060547,0.005057811737060547,162.247.243.29,0
